sample,letter,group
SRR14749982Aligned_sorted.bam,SRR14749982,Healthy
SRR14749983Aligned_sorted.bam,SRR14749983,Healthy
SRR14749984Aligned_sorted.bam,SRR14749984,Healthy
SRR14749985Aligned_sorted.bam,SRR14749985,Healthy
SRR14749986Aligned_sorted.bam,SRR14749986,Healthy
SRR14749987Aligned_sorted.bam,SRR14749987,Healthy
SRR14749963Aligned_sorted.bam,SRR14749963,Severe
SRR14749964Aligned_sorted.bam,SRR14749964,Severe
SRR14749970Aligned_sorted.bam,SRR14749970,Severe
SRR14749971Aligned_sorted.bam,SRR14749971,Severe
SRR14749972Aligned_sorted.bam,SRR14749972,Severe
SRR14749975Aligned_sorted.bam,SRR14749975,Severe
